"","klasifikasi","score","text"
"42","Positif",0,"   apaya   dulğÿ˜‚ğÿ˜‚"
"43","Negatif",-1,"pandu tindak   bapa hadap anakanak   â€"
"44","Positif",0,"  anjir lihat peta sebar  jakaa  malam  rinding  kelar garagara kayak trypophobia ğÿ˜ğÿ˜ğÿ˜ğÿ˜ğÿ˜"
"45","Negatif",-1,"hehe nyata istri  ganas   ğÿ˜‚ğÿ˜‚ğÿ˜•"
"46","Positif",0,"doain ya mudah  tenaga medis  staf  kerja  rs sehatdan  jauhkn  covidaminnncovidout"
"47","Negatif",-4," gua  mati    mati   kejar lising  deptcolector   jatuh tempo maklum kerja ojol efek koronağÿ˜ğÿ˜"
"48","Positif",1,"   shipping onlineshop      getol banget kampanye belanjadarirumah"
"49","Negatif",-1,"lihat â€˜ bimbangâ€™  krisis ekonomi susul tular wabak bhdunia  â€"
"50","Negatif",-2,"   tegalcoba bayang kalo indonesia  lockdwoonakan  kacau besarsepei  indiamari  lawan "
"51","Negatif",-1,"  tustudent  kandas  uitmtak  balikmmg tabahğÿ˜”  sabar sathope wabak   berkurangaminnni miss my family sok bad"
"52","Negatif",-1,"        kemarin   tuntas wabah koronskayy "
"53","Negatif",-1,"skrinewskarantina kampong warga desa gura c tobelo tutup jalan masuk desa  takut   â€ pictwittercomgzdxcnro"
"54","Negatif",-2,"    mudah hancur kena sabun  masuk sabun cuci piring sabun  pakai  ganti hand sanitizer     langka  mahal â€ via"
"55","Negatif",-2," maksud  coba  mati kena covidkl nyata  mati sahiducapannya   revisiğÿ"
"56","Negatif",-1,"semprot pakai disinfektan  lupa biar  kena "
"57","Positif",0,"bapaks burhan n philips  metoda sampling  quick count milu pakai  nyampling populasi   ditest   test kits  batas     sebar   nkri"
"58","Positif",0,"stayathome ğÿ by ismail zulkarnain happysunday  coronavirus stayhome staysafe quarantinelife quarantine photography photoshop pictwittercomxzzgqyte"
"59","Negatif",-1,"lagu   tergiang  telinga ku "
"60","Negatif",-3,"lindung     cinta  sebar   unduh pedulilindungi  unduh    henti sebar   indonesia ajar lengkap  link landing page"
"61","Positif",0,"habis  go away mari  beemu  ngopi  ku tunggu  bangku tumpang sebelah kiriya bambank aseli kangen"
"62","Negatif",-4," mochi kayak         selfisolating gabole  rumah enak lhoh mamam bobo main mamam  bobo  gendut deh gue ğÿ˜ğÿ˜    jemur    hlmn doang sok  stayathome  ya temenin  ğÿ˜ pictwittercomzdygedg"
"63","Negatif",-7,"   hormat  main twitter  kalo usul lockdown ya mbok usul   pemerintah mbok ya  bawa orang   orang   kerja usaha  mutus rantai infeksi  kalo  lockdown mbok terap     rumah"
"64","Negatif",-2,"oh iya   lupa syukur ya ğÿ˜ semoga allah lindung   wabah  stay safe kawan ğÿ˜š"
"65","Positif",0,"sektor kerja  alami   turun  cabar ekonomi akibat   ditangani  baikpictwittercomydjmvtjm"
"66","Negatif",-1,"   warga keluarga anggap  pnyakit  derita  plus dokter   vonis     trgolong "
"67","Positif",0,"enggih ben hindar seko "
"68","Negatif",-2,"nyata bilik desinfeksi  bahaya  who ââ â â alihalih steril tubuh    bilik desinfeksi  bahaya kasusehatangrid health â€"
"69","Positif",1," rawat  tinggal pasien   tasikmalaya  duga papar  lembang â€ via"
"70","Positif",0," tana shiga rayuwar masoyağÿ˜"
"71","Positif",0,"but london    hai bahen stay indoor"
"72","Negatif",-1,"cegah wabah   mako polda banten  semprot disinfektan â€ pictwittercomlcxovwyo"
"73","Negatif",-6,"pikir  pikir berkalimgkin   apaapa kena  sakittp keluarga  drmah orang tua   main  initeruslah cari berita updatenyatapi  gampang makan hoax ya"
"74","Negatif",-5," tuntas   masyarakat sadar   jaga sehat   bantu    sebar pasif   kasihan  orang desa    mudik   tau  papar   aparat   beindak  kompromi ğÿ’ğÿ’"
"75","Negatif",-1,"besok senin     rumah   stayathomeandstaysafe"
"76","Negatif",-4,"  ribu     cenderung bunuh orang   pnyakit bawa spi jantungdiabetesginjalhati   komplikasicoba   orang   mati  pnyakit bawa   januari     positif "
"77","Negatif",-1," masyarakat gorontalo karantina gorontalo  covidtandatangani petisi "
"78","Negatif",-3,"jemaah masjid jam bon jeruk dievakusi  rumah sakit darurat  wisma atlet mayor â€ via"
"79","Negatif",-1,"  bahaya    manusia"
"80","Negatif",-2,"peran prudential   wabah  listening understanding delivering     care  salah   peduli konsultasi gratis regards nino ardi amd prudential financialâ€ â€"
"81","Negatif",-2,"aneh deh kayak    bikin chamber semprot disinfektan   tubuh manusia  disinfektan   nyemprot benda mati   bahaya  disinfektan  hirup  manusia  ya  deh mah kebal "
"82","Negatif",-2," beranda andai nih ya kalo  korona bentuk manusia enak lu  "
"83","Positif",0,"semoga  sentiasa lindung  wabak  â€"
"84","Positif",0,"bad news my bos currently positive  doa     gaiss ğÿ˜"
"85","Negatif",-1,"odppdp  beambah  lutra masyarakat  disiplin â€"
"86","Positif",0,"best bajaajle that prevent covidpictwittercomeijruvml"
"87","Negatif",-3,"   yuri jubir penanganan  pusat  semangat  fokus kerja  hirau nitizen membully nyata  wabah      rumah korban tewas  berjatuhanlawancovid â€"
"88","Negatif",-3," keluarga  sepakat  putus   paksa  juni    semoga   selesai      keluarga   berani  kota"
"89","Negatif",-1," musim   ramai  post pasal kucingpictwittercomukknenrqvo"
"90","Negatif",-1," lockdown gratisanini berjalanhampir      biar  dampak local lockdown  sulit hidup rakyat    orang   latarbelakang  takut teular     diam  rumah "
"91","Negatif",-5," malam gua mikir gua  kemanaharus ngapainmau tidur  tenang semenjak   gua     pemerintah  suruh  rumah  gua suntuk anjing stres banget"
"92","Positif",0," deh  hero nak hapus  gais kah takkkkkkkburrrrrpictwittercomjtpkifkcc"
"93","Negatif",-2,"microsoft azure resources data centernya alih  tanggulang coviduser    create vm   pei resourcesnya alih  microsoft teams  remote working  public service pei hospital and school they saidpictwittercomczunnqvot"
"94","Positif",0," sumpa kaget  pas melek"
"95","Negatif",-3,"  alam   cowok ama     urus kayak     udahan      tau kalo   pisah  iseng reply story    wajar  pokok    ketemu main bareng   sing bangsat  landa indonesia"
"96","Negatif",-2,"wali kota sabang nazaruddin sikom putus sumbang  gaji    tim penanganan sebar     kota sabang acehlawancorona â€"
"97","Negatif",-6,"why    share berita duka  tinggal orang  kena     menshare berita  orang   pulih    whyyyy kalo pandang gue   tuh share orang   sembuh      semangat  "
"98","Positif",0,"kalo case    kelarkelar  tangis   kelarkelar    dokter gigiiiiikkkkkk akutuu ğÿ˜ğÿ"
"99","Negatif",-1,"hivi ninaulizakwa nini serikali hamko consistent  updates   ya  hapa kwetuna juhudi zetu nafahamu kuwa mambo yanaweza kuwa yanakwenda vizuri lakini toeni official press conference  statements kama wanvyofanya wenzetu ili tuelewe tusio vibaya"
"100","Negatif",-1,"peduli penanganan wabah   admin ig galang dana  beli apd"
"101","Negatif",-1,"hahahaha lepas  habis"
"102","Positif",0,"irwan djohan usul odp  karantina pusat  fasilitas militer â€ pictwittercomrjpwvgqi"
"103","Negatif",-1,"mechi imehairishwa coz ya "
"104","Positif",0,"mehngai bhi  dekhien ğÿ˜›ğÿ˜™ğÿÿğÿ˜‰  coronainpakistan coronaupdate â€"
"105","Positif",0,"fascinant  â€"
"106","Negatif",-2," gimanagimana program cegah   pemerintah   tancap gas   acung jempol    rakyat     negatif kena  ya  patuh   suai anjuran"
"107","Negatif",-1,"total     orang status pasien  awas pdp    tinggal dunia  nusa tenggara barat ntb â€"
"108","Negatif",-2,"yth bpk ganjar pranowo  farel sibarani  bantu pemda jateng putus sebar    edukasi   batas wag        masif edukasi masyarakat   kenan  no hp  tks"
"109","Negatif",-2,"maklumat ketua  ykki bantu pemerintah maksimal   lawan wabah "
"110","Positif",0,"mekanisme berbelitpanjang  alami  rakyat   jangkit   selamat  rakyat indonesia  tanggungjawab negara  negara abai  a  bunuh massal atasiviruscabutomnibus potonggajipejabat shutdownibukotabaru â€"
"111","Negatif",-1,"  salah kalo   intropeksi  coronaupdate  covidindonesia"
"112","Negatif",-2,"  bumi  benah  bumi   istirahat jenak bumi    udara  sejuk bumi   sadar bumi   sabar  bumi   cinta         stayathomeandstaysafe"
"113","Negatif",-1,"semoga  hilang  ramadhan amin ya allahğÿ—"
"114","Negatif",-3,"nyata pesawat lion air jatuh  manila angkut alat medis  â€"
"115","Negatif",-2,"intuk cegah wabah  tugas patroli sampa himbauan  anakanak   main game online  pulangpictwittercomwmhvoxtti"
"116","Positif",0,"pamekasan  maret   gubernur jatim  zona merah  â€"
"117","Negatif",-2,"wih data   batas aktivitas  angka infeksi   jakaa   ngawur  hasil lab  tia  adaskrg status odp hijau ğÿ˜‚ â€"
"118","Positif",1,"rapat covidalumni   rapat  sengaja  ujung berung  ci caheum lansung  gasibu   du     sabang     bilang meraukepictwittercomckegyedq"
"119","Positif",0,"cerita    legendaryguitarist almarhum joko wh gold guys chris kayhatu dkk bhaskara wongemas early funk section mas joko pulang  minggu maret  kota bandung  info wafat  papar coronacovid"
"120","Positif",0,"inda  take jahila  kyawon kalo batada  allah protect us from this pandemic"
"121","Negatif",-1,"huu ugojwa  hatari  tuungane ili kuwaelimisha watanzania wenzetu juu ya gojwa hili hatari  covidpictwittercomnkdaxkj"
"122","Negatif",-2,"china  salah   salahcowo  salah pe ngakakkocak dirumahaja   coronavirus lucu pictwittercomrikmswrjcx"
"123","Positif",0,"kuli  kunjaku â€"
"124","Positif",0,"  masuk minggu   advent   kasusayonara bitchies"
"125","Positif",0,"mgkinnn bantuann  "
"126","Positif",1,"suruh diorg  claim after  selesai  kali   raja  tumpu  rakyat rakyat rakyat sahaja mane rase rakyat cuba apply   patut pm n menteri sibuk agih duit  rakyat   ais nak kene tggu tmj skolahkan   kut"
"127","Negatif",-1,"bang kayak    bilang malam mati kalo   bang wkwkwk  "
"128","Negatif",-1,"ajar   tapak kaki b puan vivy insya allah    reality  "
"129","Negatif",-1,"semoga masyarakat  dunia  disiplin cegah sebar  putus rantai tular  patuh  instansi wenang  disiplinsesemoga orang sakit  pasien   beambah  tugas  menangani covidmereka pahlawan manusia"
"130","Negatif",-3,"percaya  pemerintah coronavirus    indonesia  indonesia negara tropis minum jamu  sembuh  juta masker sedia orang miskin tular   orang kayak abang ojeknelayan dll bayar kredit tangguh  ya"
"131","Positif",0,"   cicil kredit wajib baca restrukturisasi kreditpembiayaan kait dampak  â€"
"132","Negatif",-1,"my mom said    menu shj   ajar time wabak   jimat n  membazir"
"133","Positif",0,"misalcm  abang ojolseharian keluarpendapatan  pei   pandemi   eh pulang  masuk gang ditutupmau tidur  bingungakhirnya tidur  sembarang tempatmalah  sakit    maksimalmalah pakai masuk angin    "
"134","Negatif",-2,"besoksenin  suka malas dengar   gegara    malas  kntl"
"135","Negatif",-3,"halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercompknembef"
"136","Positif",2," sibuk hasut     libat   susun bijak pemerintah  penanganan covidblm dengar anggota dewan  ambil gaji  kerja keras susun bijak strategis   eksekutif  legislatif"
"137","Positif",1,"lim kit siang kau tido  parlimen  ale nak meeting kat  kau  parlimen sejuk kau  duit juta   je kat sekolah cina takde pon bincang    attend meeting more tahan people gosh ignorant nye kau limkitsiang dap  â€"
"138","Negatif",-1,"pemprov aceh  kubur massal  jenazah  â€ pictwittercomkevwmuk"
"139","Positif",1,"anggota komisi ix dpr riâ netty prasetiyani  pemerintah  usaha  hati nasib kerja   pandemi  â€"
"140","Negatif",-3,"halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomtyhkhyu"
"141","Negatif",-3,"pls deh gua  kali  percaya banget   tia  peduli cebongkadrun   benci kadrun   kalo  doski kadrun kontribusi lawan  ya lo  "
"142","Positif",0,"masya allah semoga  cpat musnah   slat berjamaah  ad  takut  virusğÿ â€"
"143","Positif",0,"brigadir wahyudin anggota bhabinkmatibmas polsek cimanggu laksana giat  pdkt menyambangi posko siaga  desa panimbang beatap muka  bpkbudi ketua rw  anggota   melaksanakanâ€ â€"
"144","Positif",0,"buti  yung mic tinitest  covidph"
"145","Positif",0,"app log bhi kuch ààà àà‡àà‹   liye sharam karo"
"146","Positif",0,"program asatidz barisanbangunnegeri  selebgram against  faktaberitafakta pictwittercomvffikriw"
"147","Positif",1,"deh capek banget  hafal gue  tugas bahas covidpictwittercomtqtbbccf"
"148","Negatif",-3,"halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomyoicrwyqx"
"149","Negatif",-1,"    isi    jasmani  makan  minum topup   rohani   solat doa baca al quran sedekah  lakukan perkaraperkara  stayathome"
"150","Positif",0,"nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"151","Negatif",-1,"lockdown daerah resmi  lakukan  kah pemerintah pusat  daerah   butuh   dampak   "
"152","Positif",2,"   rebut ambil jalan  surga  kontak  derita     dokter  tenaga medis    vaksin sembuh  nyata brilian ğÿ˜ğÿ˜ğÿ˜"
"153","Negatif",-4,"eks paai sakit hati   cari panggung  neger butuh kerjasamaseluruh lapis masyarakat  merang  politik lupa  coy"
"154","Positif",0," tido mari  doa  esok kasus   turun  baris hadap kkm beri kuat mental  fizikal amin"
"155","Negatif",-1,"coronaupdate   merek ac  rumah klean  jgpictwittercomazeiwv"
"156","Negatif",-2,"  mempeemukan aliansi   carik titik temu   aliansi   permanen    lawan    titik temu aliansi  lawan buzzer narasi manusia  lampau polarisasi politik"
"157","Positif",1,"rapid test   positif  coba baca  deh  terjun  lapang biar tau  rapid test positif  tes swab dll gimane  lu"
"158","Negatif",-3,"halo sobat polri ayo warga masyarakat kota metro laksana semprot massalsecara mandiri   senin  maret jam wib  putus rantai  semoga tuhan  maha esa meridhoi ikhtiar   amin ya rabbal alamin metrocegahcorona pictwittercomtddnmqnz"
"159","Negatif",-1,"jitihada kubwa zimefanyika kwa upande wa serikali kwa kutoa elimu hamasa maelekezo vifaa  mazingira bora kulinda afya  ustawi wa watu wake dhidi ya  kazi inabaki kwa kila mmoja  kutekeleza au kuweka maisha rehani jamanimuhimu zaidi tuombeane"
"160","Negatif",-3,"bilang kangen ya    ya    situ  mati         jarak  ngefek cuk"
"161","Negatif",-1,"bhabinkamtibmas desa canden aiptu heri pratama  babinsa  kepala dukuh laksana suluh  sosialisasi tanggulang  a maklumat kapolri besama karang taruna dsnkadilobocandenjetisbantul minggu  wib pictwittercomqiueznhsz"
"162","Positif",0,"iya tau  nikah  uji      dirumahaja stayathomeandstaysafe"
"163","Negatif",-2,"cegah  lawan    lawan cegah pararelawan thevolunteers volunteer pararelawanindonesia thevolunteersofindonesia berjuangbersamabergerakberbagi rumahsehatalafiatpriâ€ â€"
"164","Positif",0,"pemicu nyathomas  menkeu jerman  teekan    harap  rakyat germany  bantu crisispandemik   â€"
"165","Positif",0,"cegah   temposcanpacific    alam    bodrex activites tempogroup viruscorona  dirumahaja"
"166","Negatif",-1," karantina  suara stayathomeandstaysafe dirumahajacekalcorona coronaupdate "
"167","Positif",0,"  wanangoja bbinonsensewatupee fare wajingasisi"
"168","Positif",1,"pemerintah lakukan   kayak  maksud bro  lakukan menteri  sepele   deteksi  indonesiapictwittercomasgmrdymj"
"169","Negatif",-3,"actually malas nk suara pasal   ramai deh bash dorg     hmmmm mtk tumbok   time  "
"170","Positif",0,"anggota komisi xmendukung  apresiasi masmenteri nadiem makarim  bentuk relawan cegah  dirumahajadulu  coronaupdate cegahcovid pictwittercomqpqjumtdgp"
"171","Positif",0,"sorry im crying i   little boy risau  my boy jangkit   semoga "
"172","Negatif",-1,"    rumah    â€"
"173","Negatif",-2,"    bang tenaga medis  susah payah nanganin pasien     masyarakat  bantu   dirumahsaja  kalo  kerja  social distancing   lupa jaga sehat"
"174","Negatif",-1,"ais malaysia      bodoh      ğÿ˜‚"
"175","Negatif",-2,"soo   sudut pandang      oke    i feel more bad maksud    tau  dunia   sahabat   akibat     beri dampak   signifikan bang  orang  tingkat beda"
"176","Positif",0,"inshaallah lepas   lenyap rakyat malaysia   pandai simpan duit amin"
"177","Negatif",-1,"stupid stupid stupid  bang  ais    duit  cadang seniman  bang  keluarga  mati akibat  nimajoriti lakiketua keluargasumber pendapatanat least bantu    beban ahli keluarga arwah  tinggal â€"
"178","Positif",2,"serama individu  ambil sampel  saring  hasil  positif masuk   sembuh  tinggal dunia makmal   masuk makmal gerak bagiâ€ â€"
"179","Positif",1,"  kena banget  psikis    kalo suruh     gue   suka bermalasmalasan"
"180","Negatif",-1,"sedih wafat terdiagnosa   lakukan beda  makam  sedih wafat diimakamkan    positif    terdiagnosa       februari  ribu  puluh ribu  wafat  indonesia"
"181","Negatif",-2,"  lawan arus  tol pakai motor    mati cuk ğÿğÿ˜‚ğÿğÿ˜‚ğÿğÿ˜‚ â€"
"182","Positif",1,"  luas daerah daerah terap local loclkdown  lampung "
"183","Positif",1,"babi  cepat  habis  nak jumpa kawan kawan nak emosi stabil  fuckkkkkkkk"
"184","Positif",0," gabut dirumahajaya  besoksenin happyminoday pictwittercomqvdkjkymj"
"185","Positif",0," harap        aktivitas pei  btw thankyou for your information minn careforyou careindonesia"
"186","Negatif",-1,"duh  sumbar   uk   usia  tinggal   loh"
"187","Negatif",-2,"   masha allah kejut bacanak rmk maksimum  baucer    rumah pemeriksaan   dkt hospital gov and privatebanyak cantik    sumbang dorg  negara"
"188","Positif",0,"nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"189","Negatif",-2,"tindak preventif polsek arjasa beri himbauan kait bahaya sebar   polressitubondo situbondosiap â€"
"190","Negatif",-4," takut  orang  opd   ngakupdp  a opd  final infeksi     stayhome   ngeyel jujur    lari  nyebarin    orang aplg keluarga  sedih   kalo orang   sayang kena "
"191","Positif",0,"nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"192","Positif",0," kasus   dunia  sahaja cecah   mac  kasus mati pulih aktif"
"193","Positif",1,"lockdown  hasil  salah  syarat pemerintah negara  komunis  tiongkok  duduk negara  disiplin  jepang kalo indonesia terapin lockdown jamin nasib kayak india pakmohon imbang masak  coronaindonesia"
"194","Negatif",-4,"    henti wabah  ayo  samasama henti sebar    henti      neger  ayo  samasama henti titik utama  dirumahaja karantinawilayah segeralockdown"
"195","Positif",1,"ayo  cepat reda"
"196","Negatif",-1," mata â€"
"197","Positif",0,"hamara lockdown   shuru huwa hai ğÿ˜‚ ghr  danda aaj huwa haiğÿ˜‚ lockdownpakistan lockdown coronainpakistan "
"198","Negatif",-5,"innalillahi wa inna ilaihi rajiunalfatihah repost ãƒãƒãƒ kasus mati  akibat  kasus mati  kasus  rupa orang perempuan warganegara malaysia usia tahunâ€ â€"
"199","Positif",0,"semenjak       besok senin"
"200","Negatif",-3," bukaaan  alergi kritil  enggk kondisinyaa urgent    buzzer  sangkut paut  politik  keras  nyuarain buzzer  narasi    bahaya narasi hoax  misinformasi mrela  mmbahyakan"
"201","Negatif",-2,"korangjangan   message   i pastu forward kat whatsappmak  cerita  orang forward voice note kat group   takut warna kuning like what tf tho    hantu  apajangan  brainwashed mak  wehmintak tolong  i ğÿ˜"
"202","Positif",0,"  ubah sejarah adab manusia  segi perkejaan ekonomi ibadah  aktivitas      semuah        teular  dirumahaja"
"203","Negatif",-1,"jadwal normal kereta bandara yia      batal kait  pictwittercomqzdyqrbvh"
"204","Negatif",-5,"ya allah ampun dosa dosa   umat manusia   dunia tolong  orangtua  keluarga   saudara    belah dunia   selamat  wabah   ya rabb amin ya rabbalallaamiin"
"205","Negatif",-3,"orang lupa    pandemik orang susah nak control sikit   sapu licin  israel time   ramairamai sujud syukur"
"206","Negatif",-1,"my small contribution tojis pmcares fund  fight the  mera ya yogdan  ramayan me ram ji  liye setu banate samay us gilahari  yogdan  barabar bhi nahi hai indiafightscorona pictwittercomdtlpzuuuv"
"207","Negatif",-1,"       spesial pakai coklat  spesial pakai gabut plus berita   "
"208","Negatif",-1,"   berita hot      dehğÿğÿâœœï"
"209","Negatif",-1,"selesai     ketemu oke"
"210","Positif",0," caawa pm fiidnimo hadii alle idmo waxaan  ku yahay astaan tv channel barnamijka wacyigelinta ururka dhakhatiia soomaaliyeed ee ku saabsan cudurka  daawasho wacan wacyigelintacovid  socialdistancing pictwittercomdibeor"
"211","Positif",0,"cerita  lepas coviddah selamat hapus  nak mandi laut jaga  jaga kasusihatan social distancing is a must stay homestay safe ğÿ‡ğÿ‡ğÿ‡ğÿ‡ thank you frontlinersâ€ â€"
"212","Negatif",-1," wuhanitaly only miracle c save india  alami kasus mati dadak    ğÿ˜"
"213","Negatif",-1,"hiyo  chukizo  mbona  waazi hawo watoto wame kufa ju ya huyo ugonjwa wa  mungu awabariki"
"214","Negatif",-2,"  deh    hrp  kat msia sokong milik syarikat  utama kebaji   milik syarikat  sombong  bongkak"
"215","Positif",0,"btw sabun detol   tulis anti     masuk  sars  mers         kalo  varian   hehe just info"
"216","Positif",3,"  urus politik   politisasi ngene jabat  buah hasil politik  bijak  dasar rumus politik bensin subsidi   bijak politik  you hidup  negara   you jalan  bijak politik"
"217","Negatif",-1,"kangen istri   nakasus   ambil ppds   kota tinggal   rumah almarhum kakek kalo        kali pergi temu maafcurcol"
"218","Negatif",-6,"   orang  ngeluh quarantine   status bosan rumah    mikir    orang     kerja  rumah   wabah "
"219","Negatif",-2,"patut bencana wabak   pkp    muhasabah  lihat hikmah  sembunyi  amal ibadat luang   keluarga  bekerjasama bantu  bendung wabak   isu   timbul  pkp  langsung"
"220","Positif",1,"sok nu hayang karawin baringung ku biaya resepsi    "
"221","Positif",0,"gara gara  futsal  terhentipictwittercomtsaavwi"
"222","Positif",0,"pamekasan positif  orang covidindonesia   coronavirusindonesia viruscorona"
"223","Negatif",-2,"  wfh   libur      lihat korban   luas   wilayah takut cemas gelisah   daya    rumah   buruh  bapaktolong bantu  pesansambat banyuwangi"
"224","Negatif",-2,"     infeksi  n bakteri   jarang   sakit berat  temu      temu lapor serang strokeğÿ˜šğÿ"
